name,category_list,funding_total_usd,status,country_code,funding_rounds,dias_hasta_inversion
Adherex Technologies,Biotechnology,3500000.0,operating,USA,2,2894.0
Adherial,Health and Wellness|Health Care Information Technology|Mobile,560000.0,operating,USA,2,1278.0
Adherium,Medical Devices,3000000.0,operating,NZL,1,5343.0
Adheron Therapeutics,Biotechnology,1500000.0,acquired,USA,1,
Adhezion Biomedical,Biotechnology,4035000.0,operating,USA,3,3342.0
Adial Pharmaceuticals,Biotechnology,6731042.0,operating,USA,2,1535.0
Adiana,Biotechnology,23000000.0,acquired,USA,1,3158.0
Adicet Bio,Biotechnology,14625000.0,operating,USA,1,
AdiCyte,Biotechnology,2649402.0,operating,USA,2,387.0
Adient Health,Health Care,458912.0,operating,USA,1,
Adimab,Biotechnology,45282384.0,operating,USA,9,76.0
Adjudica,Enterprise Software|Facebook Applications|Medical|Software|Technology|Weddings,550000.0,operating,USA,2,731.0
Adlyfe,Biotechnology,8300000.0,operating,USA,2,1112.0
ADMA Biologics,Biotechnology,46500000.0,ipo,USA,3,
Admera,Health and Wellness|Health Care|Medical,0.0,operating,USA,1,1192.0
Admittance Technologies,Health Care,5886000.0,operating,USA,2,1114.0
Adnexus,Biotechnology|Health Care|Medical|Therapeutics,55500000.0,acquired,USA,3,365.0
Adnoviv,Industrial|Medical|Security|Sensors,25000.0,operating,USA,1,
Adocia,Biotechnology,37079200.0,operating,FRA,2,1115.0
Adora,Health and Wellness|Medical|Medical Devices,223828.0,operating,SVN,1,
Adreima,Health Care|Hospitals|Medical,0.0,operating,USA,1,
Aduro BioTech,Biotechnology,143380947.0,ipo,USA,8,3608.0
Advalight,Medical Devices,1299826.0,operating,DNK,2,1065.0
Advance Health,Health Care|Information Technology|Medical|Pharmaceuticals,40000000.0,operating,USA,1,0.0
ADVANCE Medical,Health Care,26000000.0,operating,USA,2,
Advanced Accelerator Applications,Biotechnology|Health Diagnostics,52750600.0,ipo,FRA,1,4430.0
Advanced Animal Diagnostics,Biotechnology|Health Diagnostics,32000000.0,operating,USA,3,3725.0
Advanced BioEnergy,Biotechnology,7746327.0,operating,USA,1,1824.0
Advanced BioHealing,Biotechnology,33500000.0,acquired,USA,2,1055.0
Advanced Biomedical Technologies,Biotechnology,205250.0,operating,USA,1,
Advanced BioNutrition,Biotechnology,17060275.0,operating,USA,4,
Advanced Brain Monitoring,Health Care,836778.0,operating,USA,1,4479.0
Advanced Catheter Therapies,Biotechnology|Health Care|Life Sciences,14350000.0,operating,USA,5,1259.0
Advanced Cell Diagnostics,Biotechnology|Health Diagnostics,40800000.0,operating,USA,4,976.0
Advanced Cell Technology,Biotechnology,57777000.0,ipo,USA,3,1046.0
Advanced Cooling Therapy,Medical Devices,4500000.0,operating,USA,2,2058.0
Advanced fPAT Imaging,Medical,100000.0,operating,USA,1,-277.0
Advanced ICU Care,Health Care,17825489.0,operating,USA,4,2197.0
Advanced Imaging Technologies,Biotechnology,440000.0,operating,USA,1,1966.0
Advanced In Vitro Cell Technologies,Health Care,16211800.0,acquired,ESP,1,2523.0
ADVANCED MEDICAL ISOTOPE,Biotechnology,525000.0,operating,USA,1,2679.0
Advanced Oncotherapy,Health Care,757625.0,operating,GBR,1,295.0
Advanced Orthopedic Technologies,Fitness|Health Care|Medical|Technology,250000.0,operating,USA,1,
Advanced Patient Care,Health Care,200000.0,operating,USA,2,1024.0
Advanced Personalized Diagnostics,Health Diagnostics|Medical,0.0,operating,USA,1,140.0
Advanced Plasma Therapies,Biotechnology,500000.0,operating,USA,1,1193.0
Advanced Practice Strategies,Internet|Knowledge Management|Medical,12000000.0,operating,USA,1,8124.0
Advanced Proteome Therapeutics,Biotechnology,2077950.0,operating,USA,5,
Advanced TeleSensors,Fitness|Health and Wellness|Health Care|Medical Devices|Security,250000.0,operating,USA,1,731.0
AdvanDx,Biotechnology,39700000.0,acquired,USA,5,2086.0
Advantagene,Biotechnology,500000.0,operating,USA,1,
Advaxis,Biotechnology,98537423.0,ipo,USA,8,2830.0
Advenchen Laboratories,Biotechnology,4475000.0,operating,USA,1,2696.0
Advent Health Partners,Biotechnology,1500000.0,operating,USA,1,383.0
Advent Therapeutics,Health and Wellness|Health Care|Therapeutics,50000.0,operating,,1,
ADVENTRX Pharmaceuticals,Biotechnology,22500000.0,operating,USA,1,
Advera Health Analytics,Big Data Analytics|Health and Wellness|Health Care Information Technology|Pharmaceuticals,2000000.0,operating,USA,1,1566.0
Advion Inc.,Biotechnology,1500000.0,operating,USA,1,7850.0
Advitech,Biotechnology,1440000.0,operating,,1,
Adynxx,Biotechnology,7540560.0,operating,USA,3,1310.0
AEGEA Medical,Biotechnology,55367098.0,operating,USA,3,1605.0
Aegera Therapeutics,Biotechnology|Pharmaceuticals,12173913.0434783,operating,CAN,1,
Aegerion Pharmaceuticals,Biotechnology|Health Care,19814760.0,ipo,USA,2,2004.0
Aeglea BioTherapeutics,Biotechnology|Health Care|Therapeutics,68000000.0,operating,USA,3,373.0
AEOLUS PHARMACEUTICALS,Biotechnology,11755550.0,operating,USA,6,5574.0
Aeonmed Medical Treatment,Health Care,0.0,operating,CHN,1,
Aerial BioPharma,Biotechnology,19500000.0,operating,USA,3,
Aerie Pharmaceuticals,Biotechnology,253614965.0,ipo,USA,5,2069.0
Aerin Medical,Biotechnology,7473123.0,operating,USA,4,345.0
AeroSurgical,Health Care,2200000.0,operating,IRL,1,
Aerpio Therapeutics,Biotechnology,63000000.0,operating,USA,4,369.0
Aesica Pharmaceuticals,Biotechnology,0.0,acquired,GBR,1,
AesRx,Biotechnology,3455150.0,operating,USA,3,1276.0
Aethlon Medical,Health Care,17681234.0,ipo,USA,12,3843.0
Aethon,Health Care,35668990.0,operating,USA,8,1794.0
Afferent Pharmaceuticals,Biotechnology,89200000.0,operating,USA,7,-1952.0
Affibody,Biotechnology|Health Diagnostics,28499283.0,operating,SWE,1,
Affimed Therapeutics,Biotechnology,108377224.0,ipo,DEU,5,2650.0
Affinergy,Biotechnology,3000000.0,operating,USA,1,
Affineti Biologics,Health Care,500000.0,operating,,1,
Affinimark Technologies,Biotechnology,1359394.0,operating,USA,1,
Affinity Therapeutics,Biotechnology,400000.0,operating,USA,1,1469.0
Affinium Pharmaceuticals,Biotechnology|Health Care|Pharmaceuticals,81800000.0,acquired,USA,5,2641.0
AFFiRiS,Biotechnology,34082500.0,operating,AUT,1,
Affomix Corporation,Biotechnology,7000000.0,operating,USA,1,
Afinity Life Sciences,Biotechnology,1500000.0,operating,CAN,1,618.0
Afraxis,Ediscovery|Health Care|Medical,1500000.0,operating,USA,2,
After Care Apps,Health Care Information Technology|Mobile|SaaS,200000.0,operating,USA,1,-730.0
AgaMatrix Inc.,Health and Wellness|Health Care|Medical Devices,23660000.0,operating,USA,1,2557.0
AgBiome,Biotechnology,52000000.0,operating,USA,2,466.0
Agencourt Bioscience,Biotechnology,0.0,acquired,USA,1,-730.0
Agency for Student Health Research,Analytics|Big Data|Databases|EdTech|Education|Health Care Information Technology|Mobile Health|Risk Management|Software,425000.0,operating,USA,2,1581.0
Agendia,Biotechnology,122000000.0,operating,NLD,3,1700.0
AgeneBio,Biotechnology,11001850.0,operating,USA,8,546.0
Agennix,Biotechnology,35000000.0,operating,DEU,2,3011.0
Agensys,Biotechnology,84100000.0,operating,USA,2,1888.0
Agenus,Biotechnology,171140000.0,ipo,USA,5,5694.0
Ageria,Biotechnology,0.0,operating,IRL,1,
Aggamin Pharmaceuticals,Biotechnology,3722355.0,operating,USA,1,1203.0
Aggredyne,Biotechnology,3000000.0,operating,USA,1,
AGI Biopharmaceuticals,Biotechnology,4710000.0,operating,,1,
Agile Edge Technologies,Medical,0.0,operating,USA,1,1753.0
Agile Sciences,Biotechnology,2808642.0,operating,USA,2,
Agile Therapeutics,Biotechnology,111005000.0,ipo,USA,7,4683.0
AgileMD,Health Care,2000000.0,operating,USA,2,93.0
AgileNano,Biotechnology,272500.0,operating,USA,1,
Agilis Biotherapeutics,Biotechnology,8000000.0,operating,USA,1,
Agilvax,Biotechnology|Health Care|Medical,3150000.0,operating,USA,2,
Agios Pharmaceuticals,Biotechnology|Health Care,119823937.0,ipo,USA,4,188.0
Agradis,Biotechnology,24000000.0,operating,USA,2,216.0
AgraQuest,Biotechnology,57100000.0,acquired,USA,4,2959.0
Agri-Neo,Biotechnology,118508.0,operating,CAN,1,
Agrican,Medical,500000.0,operating,USA,1,477.0
Agrisoma Biosciences,Biotechnology,2320000.0,operating,CAN,2,2923.0
Agrivida,Biotechnology,43898233.0,operating,USA,7,1786.0
AgroSavfe,Biotechnology,6637000.0,operating,BEL,1,
AGY Therapeutics,Medical|Pharmaceuticals|Therapeutics,9000000.0,operating,,1,
ahoyDoc,Health Care|Health Care Information Technology,20000.0,operating,USA,1,
AHS PharmStat,Employment|Health Care|Staffing Firms,900000.0,operating,USA,1,
Ahura Scientific,Biotechnology,29500000.0,acquired,USA,3,230.0
Ai2 UK,Biotechnology,3108469.0,operating,GBR,2,1854.0
AiCuris,Biotechnology,74800000.0,operating,,1,
Aider,Medical Devices,44645.0,operating,KOR,1,426.0
Aidin,Health Care|Software,600000.0,operating,USA,2,
AIKO Biotechnology,Biotechnology,850000.0,operating,USA,1,1404.0
Aileron Therapeutics,Biotechnology,139500000.0,operating,USA,7,699.0
Aimbrain,Biotechnology,0.0,operating,GBR,1,
AIMM Therapeutics,Biotechnology,0.0,operating,NLD,1,
Aionex,Health Care|Health Care Information Technology|Hospitals,250000.0,operating,USA,1,2119.0
Aircare,Health and Wellness|Health Care|Health Services Industry,0.0,operating,USA,1,
Aires Pharmaceuticals,Biotechnology,20000000.0,acquired,USA,1,1441.0
